marka;fakty;sreda;pochemu;uverennost
К3.2;1;оба;Компрессорно-конденсаторный блок системы VRF использует хладагент, который классифицируется как газ.;высокая
Н48-41-1М;1;оба;Н- в маркировке Н48 обычно обозначает нагнетатель, без контекста обрабатываемого продукта среда не ясна.;низкая
ЦК-02;1;оба;ЦК — центробежный компрессор, информация о сжимаемой среде в контексте отсутствует.;низкая
НИМ-120/1;1;оба;НИМ-120/1 — заводской номер модернизированной проточной части компрессора, среда не указана.;низкая
НИМ-86;1;оба;НИМ-86 — номер корпуса компрессора, без контекста среды установить невозможно.;низкая
АД-120С-Т400;1;воздух;Турбокомпрессор дизель-генераторной установки АД всегда является турбонаддувом и сжимает атмосферный воздух.;высокая
Н-340-81-3;1;газ;Н- в обозначении нагнетатель Н-340-81-3 на ГКС (газокомпрессорной станции) работает на природном газе.;высокая
A135-H55;1;воздух;TPS A135-H55 это турбокомпрессор ABB серии TPS для наддува дизельных-генераторных установок, среда — воздух.;высокая
Р22,5;1;не ясно;Марка 'Р22,5' не является общеизвестной серией, а контекст упоминает только трубопровод пара к турбокомпрессору, что не раскрывает рабочую среду самого компрессора.;низкая
BCL607;1;газ;Серия BCL (Barrel Compressor, Low-pressure) — это общеизвестные центробежные компрессоры для синтез-газа, применяемые на производстве метанола.;высокая
EHNK-50/45;1;не ясно;"Марка 'EHNK-50/45' — это приводная паровая турбина, а не компрессор; рабочая среда машины не применима.";низкая
HPR4000;1;оба;Серия HPR (High Pressure Ratio) — это турбокомпрессоры для технологических процессов, но без указания конкретного газа в названии серии или контексте среда точно не определяется.;низкая
C-530А;1;газ;Контекст упоминает 'Участок комплексной подготовки газа', что прямо указывает на рабочую среду — природный или попутный газ.;высокая
C-530В;1;газ;Аналогично позиции 5, компрессор применяется на участке комплексной подготовки газа.;высокая
C-300;1;газ;Компрессор применяется на опасном производственном объекте 'Участок комплексной подготовки газа'.;высокая
C-200;1;газ;Компрессор применяется на 'Участке комплексной подготовки' газа, что указано в тексте для аналогичного оборудования.;высокая
С-300;1;воздух;Контекст содержит несколько упоминаний воздуходувок (GV-321А/В, GV-343, GV-342), предназначенных для подачи 'воздуха наддува'.;высокая
RC-8B;1;газ;Упоминается в связке с позициями 7 и 8 как оборудование 'Участка комплексной подготовки газа' (ГКС).;средняя
RC9-8D;1;газ;В контексте прямо указано: 'газовый турбокомпрессор', применяемый на участке подготовки газа.;высокая
RC9-8В;1;газ;Аналогично позиции 11, в контексте указан 'газовый турбокомпрессор' на участке подготовки газа.;высокая
ТК-1700;1;оба;Марка 'ТК' — общеизвестное обозначение турбокомпрессора, но контекст упоминает только 'трубопровод подвода пара к турбине', что делает рабочую среду неясной, это может быть и воздух, и технологический газ для металлургии.;низкая
ТК-1Р;1;газ;Компрессор эксплуатируется на заводе синтетического каучука, где типовая среда — углеводородные газы, при этом марка 'ТК-1Р' не указывает на воздух.;средняя
К345-92-1;1;газ;Компрессор используется на площадках производства окиси этилена и в производстве азотной кислоты, где среда — технологические газы.;средняя
М-252/2;1;газ;Компрессор 22ЦКО предназначен для сжатия технологического газа в цехе по производству метанола.;высокая
М-252/3;1;газ;Аналогично позиции 16, компрессор 22ЦКО эксплуатируется в цехе метанола.;высокая
М-252/1;1;газ;Аналогично позиции 16, компрессор 22ЦКО эксплуатируется в цехе метанола.;высокая
2MCL607;1;газ;Компрессоры с маркировкой серий MCL и BCL применяются в цехе Карбамид-3 для сжатия диоксида углерода или аммиака.;высокая
2ВСL305;1;газ;Аналогично позиции 19, серия BCL применяется в производстве карбамида для технологических газов.;высокая
2МСL607;1;газ;Аналогично позиции 19, серия MCL применяется в цехах карбамида для технологических газов.;высокая
2ВСL306/А;1;газ;Аналогично позиции 19, серия BCL применяется в цехах карбамида для технологических газов.;высокая
М-31/3;1;воздух;Марка 'ТГ' общеизвестно обозначает турбогазодувку (или турбокомпрессор для воздуха), а контекст использования на производстве указывает на сжатие воздуха.;средняя
М-31/1;1;воздух;Аналогично позиции 23, марка 'ТГ' указывает на турбокомпрессор для воздушной среды.;средняя
М-31/2;1;воздух;Аналогично позиции 23, марка 'ТГ-65-1,06' указывает на турбокомпрессор для воздушной среды.;средняя
H-540-41-1;1;газ;Марка 'H' обычно означает центробежный нагнетатель для газа, контекст ПАО 'КуйбышевАзот' (производство азотных удобрений, капролактама) предполагает работу с технологическими газами.;средняя
Н-1361;1;газ;Обозначение нагнетатель Н-1361 в цехе производства циклогексанона явно указывает на сжатие технологического газа.;высокая
В-604/1;1;газ;Центробежный нагнетатель с обозначением 'В-604/1' в цехе производства циклогексанона работает с технологическим газом.;высокая
Н1361;1;газ;Центробежный нагнетатель Н 1361 прямо назван газодувкой, среда — газ.;высокая
H-1361;1;газ;Центробежный нагнетатель H-1361, техн. № В-604/2, аналогичен предыдущим позициям и применяется для сжатия технологических газов.;высокая
М-101;1;газ;Трубопровод хвостовых газов от камеры сгорания поз. М-101 С/А до турбокомпрессора М-101М прямо указывает на рабочую среду — хвостовой газ.;высокая
ЦК-100/6;1;газ;Турбокомпрессоры ЦК-100/6,5 и ЦК-135 указаны в линии азота низкого давления, среда — газ (азот).;высокая
ЦК-135/;1;газ;Трубопровод азота низкого давления на всас турбокомпрессора ЦК-135/ прямо указывает на рабочую среду — азот.;высокая
7RМA70;1;газ;Компрессоры типов RMA/RPA фирмы Ingersoll Rand на нефтехимических предприятиях типа Тольяттикаучук используются для сжатия углеводородных газов, воздуха или хладагентов, что без уточнения позволяет предполагать газ.;средняя
6RPA56;1;газ;Компрессор 6RPA56 применяется на установке конденсации углеводородных газов (БК-8), среда — газ.;высокая
4RPA56;1;газ;Компрессор 4RPA56 является частью агрегата, работающего на установке конденсации углеводородных газов (БК-8), среда — газ.;высокая
Н70-51-1;1;газ;Нагнетатель Н70-51-1 на площадке переработки нефтехимического предприятия 'Тольяттикаучук' вероятно работает с газовой смесью.;низкая
М-148/3;1;газ;Технологический индекс M-148/3 относится к компрессору на площадке переработки 'Тольяттикаучук', нефтехимическая среда — газ.;низкая
ТКЕ14-17,4/0,6;1;оба;Турбокомпрессорный агрегат типа ТКЕ производителя Gustav 'E' на НПЗ или НХЗ может работать и на воздухе, и на газе в зависимости от назначения в цепочке.;низкая
Н-304-31-1;1;газ;Нагнетатель Н-304-31-1 на площадке переработки 'Тольяттикаучук' вероятно сжимает технологический газ.;низкая
ТКF14-17.4;1;газ;Аналог из той же серии ТКF на нефтехимическом предприятии скорее всего работает на газе.;низкая
RМА70;1;газ;Компрессор 7RМА70 на обозначенном как 'Площадка...' объекте Тольяттикаучука используется для газов.;средняя
А53-О;1;газ;Компрессор 'Густа П' тип ТКР 19,3, техн. № 300/II, на Тольяттикаучуке является турбокомпрессором для газа.;средняя
И-3-13;1;газ;Центробежный нагнетатель ЦНВ 200/3 явно назван нагнетателем, на площадке переработки мономеров среда — газ.;высокая
5ГЦ2-220/10,5;1;оба;Марка 5ГЦ2 может быть и нагнетателем газа и воздушным компрессором, установка не определена (Кузнецкий Азот или что то другое?), данных не хватает.;низкая
С-401А;1;оба;Компрессор ВСН 606 и индекс С-401А на установке гидроочистки/риформинга НПЗ могут быть для водородосодержащего газа или азота/воздуха, но неясно по контексту.;низкая
RSA32;1;оба;Компрессор 4RSA32 — многофункционального назначения, на установке гидроочистки и изомеризации ЛСИ-200, среда может быть воздух или водородосодержащий газ.;низкая
ЛСИ-200;1;оба;ЛСИ-200 это не марка компрессора, а технологическая установка, контекст не дает ясной рабочей среды для компрессора 4RSA32.;низкая
С-401/А;1;оба;Водородосодержащий газ на CCR риформинг — это газ, но может быть воздух, конкретный индекс С-401/А не уточнен.;низкая
КХ80;1;газ;Марка центробежного компрессора 5846 КХ 80 560 на установке каталитического риформинга с индексом С-452 скорее всего сжимает водородосодержащий газ.;средняя
САТ3512С;1;воздух;Двигатель земснаряда САТ 3512С оснащается турбокомпрессором для наддува атмосферным воздухом.;высокая
TR-200;1;воздух;Турбокомпрессор TR-200 на судне используется для наддува дизельного двигателя воздухом.;высокая
К-540-41;1;газ;Центробежный компрессор К-540-41 в цехе нитрит-нитратных солей сжимает нитрозные газы.;средняя
М-101/Б2;1;воздух;Нагнетатель 360-23-4 применяется в производстве азотной кислоты, что типично для сжатия воздуха.;средняя
М10В;1;газ;Нитрозный нагнетатель М10В по названию сжимает нитрозные газы в производстве азотной кислоты.;высокая
М101/Б3;1;воздух;В контексте прямо указано: «Нагнетатель воздуха типа 360-23-4».;высокая
М101/Б5;1;воздух;В контексте прямо указано: «Нагнетатель воздуха типа 360-23-4».;высокая
М-10В;1;газ;Нагнетатель 1150-41-1 в производстве азотной кислоты, аналогично поз. М10В, сжимает нитрозный газ.;средняя
М-101/2Б;1;воздух;В контексте прямо указано: «нагнетатель воздуха типа 360-23-4».;высокая
М101/М3;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М-101/5;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М-101/3;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М-101/1М;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М101/3;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М101/56;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М-101/4;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
М-101/1;1;воздух;Турбокомпрессор агрегата ГТТ-3М в производстве азотной кислоты предназначен для сжатия воздуха.;средняя
К2-К3ЛОК;1;воздух;Компрессор К2-К3ЛОК (аналог локомотивного К2-К3) используется для сжатия воздуха в тормозных системах.;высокая
К2-К3LOK;1;воздух;Компрессор К2-К3LOK (аналог локомотивного К2-К3) используется для сжатия воздуха в тормозных системах.;высокая
MTR1710NM;1;воздух;Турбокомпрессор Krauf MTR1710NM установлен на дизельном двигателе Cummins ISF2.8 для наддува воздухом.;высокая
30Н17;1;воздух;Турбокомпрессор ТК-30Н17 — агрегат наддува дизельного двигателя промышленной техники, работающий на воздухе.;высокая
НП-01;1;не ясно;Набор проктологический НП-01 является медицинским изделием и не относится к компрессорному оборудованию.;высокая
ТУ9442-008;1;не ясно;ТУ 9442-008 — обозначение технических условий на медицинский набор, к компрессорному оборудованию не относится.;высокая
К100;1;не ясно;Котел серии STV-K 100 не является компрессорным оборудованием, а FoxWeld AEROMAX — это поршневой компрессор, но среда не указана.;низкая
ТКР-100;1;воздух;Турбокомпрессор ТКР-100 (аналог К36-87-01) — типовой агрегат наддува дизеля воздухом.;высокая
К201Б/1;1;газ;Адсорбер 'К201Б/1' на компрессорной станции газоперерабатывающего завода (Белозерный ГПЗ) работает в среде попутного нефтяного газа.;высокая
К-201Б/2;1;газ;ответа не было;высокая
1АСЦЛ20-24Г-Л-У2;1;газ;ответа не было;средняя
НЦ-01;1;газ;ответа не было;высокая
НЦ-02;1;газ;ответа не было;высокая
Е-1/4;1;газ;ответа не было;высокая
Е-1/1;1;газ;ответа не было;высокая
Т-308;1;газ;ответа не было;высокая
Т-307;1;газ;ответа не было;высокая
КМ-100;1;газ;ответа не было;высокая
RC8-6S;1;газ;ответа не было;высокая
RB-6B;1;газ;ответа не было;высокая
ПМН-2/1;1;газ;ответа не было;высокая
ПМН-2/2;1;газ;ответа не было;высокая
ПМН-3/2;1;газ;ответа не было;высокая
ПМН-3/1;1;газ;ответа не было;высокая
ПМН-4/1;1;газ;ответа не было;высокая
ПМН-4/2;1;газ;ответа не было;высокая
ПМН-5/1;1;газ;ответа не было;высокая
ПМН-5/2;1;газ;ответа не было;высокая
КЦ-202;1;газ;ответа не было;высокая
ПМН-1/1;1;газ;ответа не было;высокая
КЦ-501/2;1;газ;ответа не было;высокая
ТК-901/1;1;газ;ответа не было;высокая
Ю9241;1;газ;ответа не было;высокая
RS-560;1;не ясно;Контекст 'работы по фрезеровке лап крепления редуктора турбокомпрессора' не указывает на среду.;низкая
HE351W;1;воздух;Турбокомпрессор HE351W применяется на двигателе Cummins и сжимает атмосферный воздух.;высокая
D08;1;воздух;Является частью описания турбокомпрессора HE351W для двигателя Cummins, работающего на воздухе.;высокая
ТК30С-02У2;1;воздух;Обозначение ТК означает турбокомпрессор, применяемый для наддува двигателей атмосферным воздухом.;высокая
ЕР-1018;1;газ;Оборудование применяется на компрессорной станции магистрального газопровода «Газпром трансгаз».;средняя
ЕР-1017;1;газ;Оборудование применяется на компрессорной станции магистрального газопровода «Газпром трансгаз».;средняя
ЕР-1016;1;газ;Оборудование применяется на компрессорной станции магистрального газопровода «Газпром трансгаз».;средняя
ГПУ-16;1;газ;В контексте упомянут нагнетатель НЦ-16/76 для ГПУ, НЦ это 'нагнетатель центробежный для ГПА' на газопроводе.;высокая
PCL804-2-36;1;газ;Центробежный нагнетатель PCL применяется на компрессорной станции магистрального газопровода.;высокая
PCL804-2-36/В;1;газ;Центробежный нагнетатель PCL применяется на компрессорной станции магистрального газопровода.;высокая
НЦ00;1;газ;НЦ означает 'нагнетатель центробежный', тип машины для транспортировки природного газа.;высокая
НЦ12;1;газ;НЦ означает 'нагнетатель центробежный', тип машины для транспортировки природного газа.;высокая
НЦ-16/76В;1;газ;НЦ означает 'нагнетатель центробежный', тип машины для транспортировки природного газа.;высокая
КЦ-9,10;1;газ;Является продолжением контекста про центробежный нагнетатель НЦ-16/76 на компрессорной станции.;высокая
PCL-804/2-36;1;газ;Нагнетатель PCL в составе ГПА на компрессорной станции предназначен для перекачки природного газа.;высокая
11Н-3;1;воздух;ТКР это 'турбокомпрессор', и по контексту без уточнения среды он применяется для наддува воздухом.;средняя
К-1500/24БМ;1;воздух;Прямо указано 'для накачки шин', что означает сжатие атмосферного воздуха.;высокая
UA-200;1;воздух;Нагнетатель для тонометра накачивает воздух в манжету.;высокая
К-3000;1;не ясно;Установка СКА на нефтеперерабатывающем заводе может подразумевать воздух КИП или газ, данных мало.;низкая
20M91;1;оба;ответа не было;низкая
К-2003;1;оба;ответа не было;низкая
20MB7;1;оба;ответа не было;низкая
4RSA-36B;1;оба;ответа не было;низкая
К-7001/1;1;оба;ответа не было;низкая
К-7001/2М;1;оба;ответа не было;низкая
C-160A;1;газ;Компрессор тех. поз. C-160A эксплуатируется на площадке газоперерабатывающего завода.;высокая
C-1400А;1;газ;Компрессор тех. поз. C-1400А работает на установке переработки газа ЦПГ-1.;высокая
C-1410;1;газ;Компрессор тех. поз. C-1410 работает на установке переработки газа ЦПГ-1.;высокая
C-160В;1;газ;Турбокомпрессор C-160В находится в здании машинного зала установки ЦПГ-1.;высокая
C-160А;1;газ;Турбокомпрессор C-160А находится в здании машинного зала установки ЦПГ-1.;высокая
ТГМ-4А;1;воздух;Турбокомпрессор с маркой ТК, установленный на тепловозе, сжимает воздух для дизельного двигателя.;высокая
654ГПА-01-02;1;газ;Центробежный компрессор ЦК-135/8 с тех. № 654ГПА-01-02 установлен на гелиевом заводе, перерабатывающем газ.;высокая
K-902D;1;газ;Центробежный компрессор K-902D установлен на объекте ЦДНГиК Газоперерабатывающего завода.;высокая
К-902Е;1;газ;Центробежный компрессор К-902Е установлен на объекте ЦДНГиК Газоперерабатывающего завода.;высокая
J-803;1;не ясно;Позиция J-803 обозначена как центробежный насос, а не компрессор, среда не указана.;низкая
У-24;1;газ;Компрессор АТП5-5/3 тех. №К-01-04 установлен на установке У-24 гелиевого завода, перерабатывающего газ.;высокая
454КР-01-04;1;газ;Центробежный компрессор ЦК-135/8 с номером 454КР-01-04 установлен на гелиевом заводе.;высокая
171Н-02;1;газ;Центробежный компрессор ЦК-135/8 М1 с номером 171Н-02 установлен на газоперерабатывающем заводе.;высокая
У-170/171;1;газ;Установка У-170/171 является частью газоперерабатывающего завода.;высокая
22Е-10;1;газ;Ёмкость перелива масла двигателя 22Е-10 связана с нагнетателем в составе ГПА.;высокая
Е-269;1;газ;Ёмкость Е-269, связанная с переливом масла двигателя, является частью оборудования нагнетателя природного газа.;средняя
22Е-11;1;газ;ответа не было;высокая
Е-267;1;газ;ответа не было;высокая
К-1,2;1;не ясно;Марка К-1,2 без контекста перекачиваемой среды, модуль компрессорных агрегатов К-1,2,3 на нефтяном предприятии может сжимать воздух или газ.;низкая
V8504;1;воздух;Турбокомпрессор входит в состав Азотной станции цеха ПГВС (паровоздуходувная станция).;высокая
V8503;1;воздух;Турбокомпрессор входит в состав Азотной станции цеха ПГВС (паровоздуходувная станция).;высокая
ТВ42-1,4-01.УЗ;1;воздух;ТВ в марке ТВ42 расшифровывается как турбовоздуходувка.;высокая
В-103;1;не ясно;Для позиции В-103 недостаточно контекста, чтобы определить рабочую среду.;низкая
В-101;1;воздух;Позиция В-101 прямо названа воздуходувкой в контексте.;высокая
В-102;1;не ясно;Позиция В-102 в контексте от нефтепереработки может быть как воздуходувкой для каталитического крекинга, так и компрессором газа, данных не хватает.;низкая
4М8-6;1;газ;Указан как компрессор КНД (компрессор низкого давления) в агрегате производства аммиака на ТОАЗе.;высокая
K-102;1;газ;Технологический компрессор CLARK на аммиачном агрегате ПАО ТОАЗ.;высокая
ЦНД4М-8-6;1;газ;Компрессор низкого давления (ЦНД) в паре с ЦВД на аммиачном производстве ТОАЗа.;высокая
2ВCL-607;1;газ;Тип 2ВCL характерен для многоступенчатых центробежных компрессоров, используемых в синтезе (аммиак, карбамид).;высокая
08К-1;1;не ясно;Обозначение 08К-1 является цеховым технологическим индексом агрегата, а не серией машины.;низкая
K-602;1;газ;Технологический компрессорный агрегат К-602 на аммиачном производстве ТОАЗа.;высокая
K-901;1;газ;Технологический компрессорный агрегат CLARK К-901 на аммиачном производстве ТОАЗа.;высокая
K-601;1;газ;Технологический компрессорный агрегат CLARK К-601 на аммиачном производстве ТОАЗа.;высокая
272BR6/1;1;газ;ЦВД (цилиндр высокого давления) в составе компрессорного агрегата 401 производства аммиака.;высокая
553В9;1;газ;ЦНД (цилиндр низкого давления) компрессора К-601 на аммиачном производстве ТОАЗа.;высокая
373В5/5;1;газ;ЦСД (цилиндр среднего давления) компрессора К-601 на аммиачном производстве ТОАЗа.;высокая
272ВR7/1;1;газ;ЦВД (цилиндр высокого давления) компрессора К-601 на аммиачном производстве ТОАЗа.;высокая
2BCL-607;1;газ;Тип 2BCL характерен для центробежных компрессоров на производстве карбамида, указан как ЦВД агрегата.;высокая
ГТЭ-3675-ТУ-ЭПБ-21;1;не ясно;Обозначение ГТЭ... является номером экспертизы промышленной безопасности, а не серией компрессора.;низкая
4М-6;1;газ;Прямо указан как турбокомпрессор газовый технологический номер 4М-6 на ОПО карбамидо-формальдегидного концентрата.;высокая
К-103;1;газ;Прямо указан как турбокомпрессор газовый (азотодувка), технологический азотный компрессор.;высокая
K-103;1;газ;Прямо указан как турбокомпрессор-азотодувка, сжимающая азот (инертный газ) для производства аммиака.;высокая
К-8/3;1;газ;Обозначение Т/К указывает на технологический компрессор, машина используется в цехе агрегатов азотной кислоты.;высокая
К-8/9;1;газ;Марка Н-540-41-1 это центробежный нагнетатель для нитрозного газа, тех. номер Т/К подтверждает газовую среду.;высокая
Н-8/8;1;газ;Нагнетатель Н-540-41-1 нитрозного газа на площадке производства слабой азотной кислоты.;высокая
Н-8/5;1;газ;Нагнетатель Н-540-41-1 нитрозного газа на площадке производства слабой азотной кислоты.;высокая
Н-8/6;1;газ;Нагнетатель Н-540-41-1 нитрозного газа на площадке производства слабой азотной кислоты.;высокая
4RPA28A;1;газ;Центробежный компрессор Адина 4RPA на заводе КуйбышевАзот, химическое производство.;высокая
RBA44B;1;газ;Центробежный компрессор АДА серии RBA на заводе КуйбышевАзот, химическое производство.;высокая
5RBA39A;1;газ;Центробежный компрессор АДА серии RBA на заводе КуйбышевАзот, химическое производство.;высокая
PCL804-2/36В;1;газ;PCL — серия центробежных нагнетателей для природного газа, прямо указано в контексте 'нагнетатель природного газа'.;высокая
ЦБН-235-21-1;1;газ;ЦБН — нагнетатель центробежный, эксплуатируется на компрессорной станции (КС) в системе Газпрома, что характерно для природного газа.;высокая
КС-25;1;газ;КС-25 — это обозначение компрессорной станции, используемой для транспортировки природного газа в Единой системе газоснабжения.;низкая
УНЦ-16-76/1,44;1;газ;УНЦ — нагнетатель центробежный, эксплуатируется на площадке компрессорной станции КС-22 в структуре Газпрома, что указывает на природный газ.;высокая
GB-732B;1;газ;Компрессор установлен в агрегате производства нитроаммофоски, где может сжиматься аммиак, но без точного указания среды ставим 'газ'.;средняя
Р-12;1;газ;Позия Р-12 связана с транспортировкой нитрозного газа, что прямо указано в контексте.;высокая
КМА-2М;1;газ;КМА-2М используется как нитрозный нагнетатель в цехе азотной кислоты, рабочая среда — нитрозный газ.;высокая
КМА2М;1;газ;КМА2М — это нитрозный нагнетатель, рабочая среда прямо названа в контексте позиции 7.;высокая
ТВ80-1,8-01.УЗ;1;воздух;ТВ — это турбовоздуходувка, серия однозначно указывает на работу с воздухом.;высокая
IP23;1;оба;IP23 — это обозначение степени защиты корпуса электродвигателя, а не марка компрессорной машины, рабочую среду определить нельзя.;низкая
ОЖ-400;1;газ;Агрегат включает турбокомпрессор АТКА-545, работающий с оборудованием ХП-250, ОЖ-400, характерным для хлорной или химически агрессивной газовой среды.;средняя
Н900-31-4М;1;воздух;Н900-31-4М является центробежным нагнетателем для подачи воздуха в установку каталитического крекинга на НПЗ.;высокая
C-10;1;газ;Сепаратор С-10 на приеме компрессора установки каталитического риформирования предназначен для углеводородного газа.;высокая
ЦК-301/Р;1;оба;ЦК-это центробежный компрессор без указания конкретной рабочей среды, требуется уточнение по процессу КТ-1/ переработки мазута.;низкая
ТВ-500-1,08;1;воздух;ТВ- есть турбовоздуходувка, что прямо указано в контексте 'Воздуходувка марки ТВ-500-1,08'.;высокая
М-1В;1;воздух;В контексте указано, что это турбокомпрессор одноступенчатый воздушный.;высокая
В-207/1;1;воздух;Технологический позиция В-обозначает воздушный компрессор на установке регенерации.;средняя
В-207/2;1;воздух;В контексте указано, что нагнетатель марки ТВ-500-1.08 здесь же назван турбокомпрессором одноступенчатым воздушным.;высокая
В-207/3;1;воздух;Аналогично позиции 18, нагнетатель ТВ-500-1.08 является воздушным.;высокая
20В-1/1;1;газ;ТГ- турбогенератор или турбокомпрессор газовый, эксплуатируемый в производстве серы, что указывает на кислый газ.;средняя
20В-1/2;1;газ;Аналогично позиции 20, турбокомпрессор ТГ-170-1,7М1В на производстве серы предназначен для компримирования газа.;средняя
Н750-23-4;1;воздух;Нагнетатели Н750-23-4 на водоканале используются для аэрации аэротенков очистных сооружений.;средняя
С-1410;1;газ;Компрессор 'YORK' М538А установлен в цехе переработки газа и предназначен для углеводородного или попутного нефтяного газа.;высокая
С-1400А;1;газ;Аналогично позиции 23, компрессор цеха переработки газа предназначен для газа.;высокая
CBF-742;1;газ;Dresser-Rand CBF-эксплуатируется на газоперерабатывающем заводе (ГПЗ) и предназначен для природного или попутного газа.;высокая
RSA36В;1;не ясно;ответа не было;низкая
4RSA36B;1;не ясно;ответа не было;низкая
5VRM-300/430G;1;не ясно;ответа не было;низкая
6RSA36;1;не ясно;ответа не было;низкая
B4190;1;не ясно;ответа не было;низкая
G0472;1;не ясно;ответа не было;низкая
E1.3;1;не ясно;ответа не было;низкая
C1.3;1;не ясно;ответа не было;низкая
Т1.3;1;не ясно;ответа не было;низкая
С1.3;1;не ясно;ответа не было;низкая
Е1.3;1;не ясно;ответа не было;низкая
Т1.1;1;не ясно;ответа не было;низкая
ЦВД3М-7/ЦНД;1;не ясно;ответа не было;низкая
ЦВД3М-10-8/ЦНД;1;не ясно;ответа не было;низкая
RC-5B;1;не ясно;ответа не было;низкая
RC7-6B;1;не ясно;ответа не было;низкая
1X1333;1;не ясно;ответа не было;низкая
ЭПБ-224-ТА-2025;1;не ясно;ответа не было;низкая
463D5/5;1;не ясно;ответа не было;низкая
АМ-76;1;не ясно;ответа не было;низкая
463В5/3;1;не ясно;ответа не было;низкая
К-401;1;не ясно;ответа не было;низкая
К-250-61-02;1;не ясно;ответа не было;низкая
ВЦК100/9;1;не ясно;ответа не было;низкая
М-3/3;1;не ясно;ответа не было;низкая
С-452;1;не ясно;ответа не было;низкая
С-451;1;не ясно;ответа не было;низкая
К-3/1;1;не ясно;ответа не было;низкая
V-8794;1;не ясно;ответа не было;низкая
V-8019;1;не ясно;ответа не было;низкая
К-3/1,2,3;1;не ясно;ответа не было;низкая
Е-59;1;не ясно;ответа не было;низкая
ТВ-42-1,4-01;1;не ясно;ответа не было;низкая
ТВ-42/1,4-01;1;не ясно;ответа не было;низкая
4V-7C;1;не ясно;ответа не было;низкая
С-386;1;не ясно;ответа не было;низкая
5V-6;1;не ясно;ответа не было;низкая
С-385;1;не ясно;ответа не было;низкая
C122;1;не ясно;ответа не было;низкая
C121;1;не ясно;ответа не было;низкая
4RSA28;1;не ясно;ответа не было;низкая
ВЦ-100/9;1;не ясно;ответа не было;низкая
М238;1;не ясно;ответа не было;низкая
Р-1023;1;не ясно;ответа не было;низкая
Р-1038А;1;не ясно;ответа не было;низкая
Р-1038В;1;не ясно;ответа не было;низкая
Н-370-14-1;1;не ясно;ответа не было;низкая
ТК-30Н-17Ж;1;не ясно;ответа не было;низкая
ГКС-17;1;не ясно;ответа не было;низкая
МО-1072RC;1;не ясно;ответа не было;низкая
ЭПБ-6009/ТУ-2023;1;газ;В контексте прямо указано: «Турбокомпрессор одноступенчатый газовый ТВ 200-1.12».;высокая
ЭПБ-6008/ТУ-2023;1;газ;В контексте прямо указано: «Турбокомпрессор одноступенчатый газовый ТВ 100-1.12».;высокая
ЭПБ-6007/ТУ-2023;1;газ;В контексте прямо указано: «Турбокомпрессор одноступенчатый газовый ТВ 100-1.12».;высокая
ЭПБ-0880/ТУ-2023;1;газ;В контексте прямо указано: «Турбокомпрессор одноступенчатый газовый ТВ 150-1.12-01.У3».;высокая
